drillId,name,difficulty,category,duration,url,isHidden,source,skillSet,goal,description,equipment,videoCount
daily-band-work,Daily Band Work,Intermediate,Throwing,,,,orphan,Hitting,To prepare the arm for pitching by doing a band workout to stretch and strengthen.,"Secure an exercise band to a stable object at hip height, then perform a series of internal and external rotations with your throwing arm to stretch and strengthen the shoulder. The routine includes a variety of movements at different heights to ensure a comprehensive warm-up. This drill is designed to prepare the arm for the demands of pitching through a dynamic warm-up.","Bat, Ball",1
daily-flat-ground-work,Daily Flat Ground Work,Intermediate,Throwing,,,,orphan,Hitting,"To develop and reinforce proper pitching mechanics, arm care, and consistency in a low-stress environment.","From a flat ground position, the pitcher will throw to a catcher at a reduced distance, focusing on clean and repeatable mechanics. The pitcher should concentrate on maintaining a stable head position, a smooth and controlled arm action, and a balanced follow-through. This drill emphasizes precision and consistency over velocity, allowing the pitcher to build a solid mechanical foundation without the strain of throwing from a mound.","Bat, Ball",1
daily-throwing-program,Daily Throwing Program,Intermediate,Throwing,,,,orphan,Hitting,"To build a consistent, repeatable throwing motion and establish a solid mechanical foundation before progressing to more intensive pitching work.","Begin close to your partner, focusing on a clean and efficient arm path with a full follow-through. Use a four-seam grip and concentrate on spinning the ball with backspin. As you feel loose, gradually increase the distance, ensuring your mechanics remain consistent and your lower half is engaged to support the throw.","Bat, Ball",1
decline-swings,Decline Swings,Easy,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=decline-swings,,static,Custom,"To prevent ""drifting"" by using gravity to force the hitter to keep their weight centered over their back leg during the stride.","Stand on a slight downward slope (or use a decline board) to practice staying back against gravity. This prevents the hitter from ""rushing"" down the mound and teaches them how to keep their weight centered over their back leg even when the body wants to drift forward.",Varies,1
defense-prep,Defense Prep,Medium,Infield,,,,orphan,Custom,To activate the player's defensive mindset and reinforce the fundamental mechanics of fielding ground balls.,"Begin in a low, athletic fielding stance with your glove presented out front. Have a coach or partner roll ground balls directly to you, concentrating on watching the ball into the glove and securing it with both hands. This drill emphasizes clean mechanics and prepares you for reacting to various types of ground balls.",Varies,0
defense-stance,Defense Stance,Medium,Infield,,,,orphan,Custom,"To improve strike zone awareness and ""quiet"" the body during the take, allowing the hitter to track the ball all the way in.","Practice ""taking"" pitches while in a full hitting stance, focusing on the ability to stay balanced and ""track"" the ball into the catcher's mitt without flinching. This builds ""strike zone awareness"" and helps hitters realize they don't have to swing at everything they see.",Varies,1
directional-tee,Directional Tee,Easy,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=directional-tee,,static,,,,,0
double-ball-toss,Double Ball Toss,Medium,Infield,,,,orphan,Custom,To sharpen rapid decision-making and hand-eye coordination by forcing the hitter to target one specific ball out of two.,"The coach tosses two balls at once, one high and one low, and calls out ""High"" or ""Low"" after the balls are in the air. The hitter must quickly identify the correct target and execute a swing, which develops rapid decision-making and hand-eye coordination.",Varies,1
double-play-footwork-2b-drop-step,Double Play Footwork 2b Drop Step,,Infield,,,,video-orphan,,,,,1
double-play-footwork--2b-drop-step,Double Play Footwork 2b Drop Step,Medium,Infield,,,,orphan,Custom,"To create an efficient path to the bag and develop a quick, powerful throwing motion when turning a double play.","From the second base position, receive a feed from the shortstop or a coach. As the ball travels, execute a drop step with your throwing-side foot, opening your hips toward the base to create a direct line for your throw. Secure the catch as you move through the bag, then make a strong, accurate throw to first base to complete the double play.",Varies,0
double-play-footwork-2b-rocker-step,Double Play Footwork 2b Rocker Step,,Infield,,,,video-orphan,,,,,1
double-play-footwork--2b-rocker-step,Double Play Footwork 2b Rocker Step,Medium,Infield,,,,orphan,Custom,"To develop a quick and efficient method for turning a double play at second base, ensuring a rapid transfer and powerful throw to first.","As the throw approaches, the second baseman should step on the corner of the base with their left foot while receiving the ball. Immediately after securing the catch, they rock back onto their right foot, creating a clear throwing lane and generating momentum. The final step is to stride with the left foot towards first base to execute a strong and accurate throw.",Varies,0
double-play-footwork-2b-step-across,Double Play Footwork 2b Step Across,,Infield,,,,video-orphan,,,,,1
double-play-footwork--2b-step-across,Double Play Footwork 2b Step Across,Medium,Infield,,,,orphan,Custom,"To develop efficient footwork and a quick, powerful throw for turning double plays at second base.","The second baseman starts by approaching the bag as the throw comes from the shortstop or third baseman. As the ball arrives, the player should plant their left foot on the base, then step across the bag with their right foot toward the direction of the throw to create momentum and a clear throwing lane to first base. This drill emphasizes receiving the ball in the center of the body and executing a quick, fluid transfer for a strong, accurate throw.",Varies,0
double-play-footwork-ss-back-cross,Double Play Footwork Ss Back Cross,,Infield,,,,video-orphan,,,,,1
double-play-footwork--ss-back-cross,Double Play Footwork Ss Back Cross,Medium,Infield,,,,orphan,Custom,"To train a shortstop's footwork for efficiently redirecting momentum towards first base, ensuring a strong and accurate throw to complete the double play.","The shortstop receives a feed at second base, and as they clear the bag to throw to first, their right foot crosses behind their left. This 'back cross' step helps to open the hips and align the body towards the target. The focus is on a quick, fluid transition from receiving the ball to generating powerful and accurate momentum on the throw.",Varies,0
double-play-footwork--ss-front-cross,Double Play Footwork Ss Front Cross,Medium,Infield,,,,orphan,Custom,"To develop a shortstop's ability to execute a quick and efficient turn on a double play, particularly on balls hit to their glove-hand side.","From the shortstop position, field a ground ball moving to your glove side. Instead of a traditional drop step, your throwing side foot will cross over in front of your glove side foot as you secure the ball. This 'front cross' creates a direct line and powerful momentum for a quick, accurate throw to the second base bag to initiate the double play.",Varies,0
double-play-footwork-ss-front-cross,Double Play Footwork Ss Front Cross,,Infield,,,,video-orphan,,,,,1
double-play-footwork-ss-pop-feet,Double Play Footwork Ss Pop Feet,,Infield,,,,video-orphan,,,,,1
double-play-footwork--ss-pop-feet,Double Play Footwork Ss Pop Feet,Medium,Infield,,,,orphan,Custom,"To train shortstops to quickly and explosively align their feet and body to make a strong, accurate throw to second base.","From the shortstop position, field a ground ball moving towards the second base bag. As you secure the ball, execute a quick 'pop' or hop with your feet, landing in a balanced position with your shoulders and hips aligned to your target. This explosive footwork allows for a rapid transfer and a powerful, accurate throw, minimizing the time it takes to turn the double play.",Varies,0
double-tee,Double Tee,Medium,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=double-tee,,static,Custom,"To master swing plane consistency and ""leveling out"" the barrel at the exact moment of impact for line drives.","Set two tees up in a line, one in front of the other. The hitter must swing and hit the front ball without knocking over the back tee, or vice-versa. This reinforces a specific swing plane, teaching the hitter how to ""level out"" the barrel at the right moment.",Varies,1
double-tee-decision-making,Double Tee Decision Making,Medium,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=double-tee-decision-making,,static,Hitting ,To simulate split-second adjustments for inner vs.,"Place two tees at different locations (inner and outer). As the hitter begins their load, the coach shouts ""Inside"" or ""Outside,"" and the hitter must adjust their hands and path to hit the corresponding ball. This simulates the split-second adjustments needed in a real at-bat.",Varies,1
drag-bunt,Drag Bunt,Intermediate,Bunting,,,,orphan,Hitting,To disguise the bunt until the last moment and beat out the throw by placing the ball in a difficult spot for the defense to field.,"As the pitcher starts their delivery, the batter takes a crossover step with their back foot, simultaneously opening their hips and shoulders toward the field. The bat is brought to a level position, with the top hand guiding the barrel to angle the ball down the desired baseline. The objective is to make contact with the ball out in front of the plate while already in motion, allowing the batter to get a quick start out of the box.","Bat, Ball",1
drop-step-cones,Drop Step Cones,Intermediate,Outfield,,,,orphan,Hitting,"To develop a quick and efficient first step, enabling the outfielder to react and get in position to catch deep fly balls. (Edited inline)","Set up three cones in a triangle, with the player starting at the apex. On the coach's signal, the player executes a drop step, opening their hips and shoulders toward one of the back cones, then sprints to that cone. This drill emphasizes creating a direct line to the ball and gaining ground efficiently on balls hit over the outfielder's head.","Bat, Ball",1
drop-step-groundballs,Drop Step Groundballs,Medium,Infield,,,,orphan,Custom,To develop an infielder's ability to create space and efficient angles to the ball on groundballs hit directly at them or to their immediate left or right.,"From an athletic fielding position, the player initiates the drill by taking a quick drop step with the foot corresponding to the direction of the groundball. This action involves opening the hips and stepping back to create a better angle to approach the ball. After the drop step, the player aggressively attacks the ball, fields it cleanly, and simulates a throw to the appropriate base.",Varies,1
elevated-front-toss-drill,Elevated Front Toss Drill,Hard,Hitting,10m,,,custom,Hitting,"The goal of the Elevated Tee Drill is to help hitters adjust to high pitch locations by improving swing plane, barrel accuracy, and posture, teaching them to stay on top of the ball without dropping t",,Varies,1
execute---on-the-field,Execute On The Field,Medium,Uncategorized,,,YES,orphan,Custom,To develop a player's ability to execute fundamental defensive plays flawlessly under pressure.,"This drill simulates live game situations, requiring infielders to field ground balls hit by a coach and make accurate throws to the correct base. Players should focus on anticipating the play, maintaining proper defensive posture, and executing a clean exchange from glove to hand. The objective is to complete each defensive opportunity successfully, reinforcing the importance of making routine plays consistently.",Varies,0
extended-tee,Extended Tee,Medium,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=extended-tee,,static,Custom,"To encourage ""full extension"" through the ball, ensuring the hitter drives through contact rather than cutting the swing short.","Place the tee significantly further out in front of the plate than usual to practice ""extension."" The hitter focuses on hitting through the ball and reaching a full ""V"" shape with their arms after contact, ensuring they aren't ""cutting off"" their swing too early.",Varies,1
extension-and-direction-drill,Extension and Direction Drill,Medium,Hitting,10m,,,custom,Hitting,"Help hitters develop a proper bat path that produces a more upward swing plane to get the ball in the air, reducing excessive topspin and weak grounders.",,Varies,1
fastball-front-toss,Fastball Front Toss,Easy,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=fastball-front-toss,,static,Custom,"To eliminate ""extra"" movements in the load, forcing the hitter to be efficient to catch up to higher velocity.","The coach throws firmer, flatter tosses from a shorter distance to simulate high-velocity pitching. This reduces the hitter's reaction time and forces them to eliminate any ""extra"" movements in their load, promoting a ""short to the ball, long through the ball"" philosophy.",Varies,1
flamingo-one-leg-balanced-drill,Flamingo (One Leg Balanced) Drill,Medium,Hitting,5m,,,custom,Hitting,"Develop stride control and proper weight distribution by teaching the hitter to stay loaded on the back hip, ride the back leg forward, and create separation without drifting or lunging.",,Varies,1
flat-ground,Flat Ground,Intermediate,Pitching,,,,orphan,Pitching,"Goal: Focus on having a good extension and a smooth follow-through.

","From a set position on a flat surface, the pitcher simulates a full throwing motion, focusing on a clean and repeatable arm action without the strain of a mound. The pitcher should concentrate on maintaining balance, achieving good extension toward the target, and finishing with a smooth, controlled follow-through. This drill emphasizes consistent mechanics over velocity, making it ideal for warm-ups and reinforcing proper form.",Ball,1
flaw-casting-the-hands-outside-of-the-ball,Flaw - Casting the Hands Outside of the Ball,Hard,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=flaw-casting-the-hands-outside-of-the-ball,,static,,,,,1
flaw-chopping-at-the-ball,Flaw - Chopping at the Ball,Easy,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=flaw-chopping-at-the-ball,,static,,,,,1
flaw-collapsing-the-backside,Flaw - Collapsing the Backside,Medium,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=flaw-collapsing-the-backside,,static,,,,,1
flaw-contact-point-too-far-out-front,Flaw - Contact Point Too Far Out Front,Hard,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=flaw-contact-point-too-far-out-front,,static,,,,,1
flaw-hands-dropping-too-low,Flaw - Hands Dropping Too Low,Medium,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=flaw-hands-dropping-too-low,,static,,,,,1
flaw-improper-stance,Flaw - Improper Stance,Easy,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=flaw-improper-stance,,static,,,,,1
flaw-lack-of-separation,Flaw - Lack of Separation,Hard,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=flaw-lack-of-separation,,static,,,,,1
flaw-loop-in-the-barrel,Flaw - Loop in the Barrel,Medium,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=flaw-loop-in-the-barrel,,static,,,,,1
flaw-lunging-to-the-ball,Flaw - Lunging to the Ball,Medium,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=flaw-lunging-to-the-ball,,static,,,,,1
flaw-no-lower-half,Flaw - No Lower Half,Easy,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=flaw-no-lower-half,,static,,,,,1
flaw-soft-front-knee,Flaw - Soft Front Knee,Hard,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=flaw-soft-front-knee,,static,,,,,1
flaw-stepping-in-the-bucket,Flaw - Stepping in the Bucket,Easy,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=flaw-stepping-in-the-bucket,,static,,,,,1
flaw--casting-the-hands-outside-of-the-ball,Flaw: Casting The Hands Outside Of The Ball,Medium,Hitting,,,,orphan,Custom,"To correct a ""long"" swing by forcing the hands to stay ""inside"" a barrier on the inner half of the plate.","To fix this, place a tee or a soft barrier on the outside of the plate and practice hitting balls on the inside corner. The hitter must keep their hands ""tucked"" and lead with the knob to avoid hitting the barrier, effectively curing the ""long"" swing path.",Varies,0
flaw--chopping-at-the-ball,Flaw: Chopping At The Ball,Medium,Hitting,,,,orphan,Custom,"To correct a steep downward attack angle, forcing the hitter to level out and drive through the back of the ball.","Place a tee at the top of the strike zone and focus on hitting ""line drives"" rather than ground balls. The hitter must feel the barrel stay ""on plane"" with the ball rather than attacking it at a steep downward angle, which often results in weak contact.",Varies,0
flaw--collapsing-the-backside,Flaw: Collapsing The Backside,Medium,Hitting,,,,orphan,Custom,"To maintain a vertical spine and high back shoulder, preventing the ""dip"" that causes pop-ups.","Place a tall tee or a PVC pipe behind the hitter’s back side to keep the spine vertical. The hitter practices rotating ""around"" their axis rather than ""dipping"" their back shoulder, which helps maintain a level swing and prevents popping up.",Varies,0
flaw--contact-point-too-far-out-front,Flaw: Contact Point Too Far Out Front,Medium,Hitting,,,,orphan,Custom,"To train the hitter to ""let the ball travel,"" proving they can generate power even when hitting the ball deep in the zone.","Move the tee back toward the hitter's back foot and practice driving the ball to the opposite field. This teaches the hitter to ""let the ball travel"" and realize they can still generate power even when the ball is deep in the zone.",Varies,0
flaw--hands-dropping-too-low,Flaw: Hands Dropping Too Low,Medium,Hitting,,,,orphan,Custom,"To encourage a ""direct"" hand path from the launch position, eliminating the ""hitch"" that wastes time.","Place a ""high tee"" in the zone and require the hitter to hit line drives. If the hands drop, the hitter will swing ""under"" the ball or hit the tee itself. This encourages a more direct, downward-to-level hand path from the starting position.",Varies,0
flaw--improper-stance,Flaw: Improper Stance,Medium,Hitting,,,,orphan,Custom,"To create a consistent, athletic ""starting box"" through repeated visual and physical checks of the setup.","Use a mirror or video analysis to check that the feet are shoulder-width apart, knees are athletic, and hands are in a ""loaded"" position. Repeatedly stepping into the box and ""checking"" these markers builds the muscle memory needed for a consistent starting point.",Varies,0
flaw--lack-of-separation,Flaw: Lack Of Separation,Medium,Hitting,,,,orphan,Custom,"To create ""torque"" by ensuring the hands stay back as the front foot moves forward during the stride.","Use a resistance band anchored behind the hitter and held in the lead hand. As the hitter strides forward, they must feel the band ""stretch"" as the hands stay back. This creates the ""rubber band effect"" necessary for elite bat speed and power.",Varies,0
flaw--loop-in-the-barrel,Flaw: Loop In The Barrel,Medium,Hitting,,,,orphan,Custom,"To eliminate ""barrel drag"" by using a wall constraint that forces the hitter to stay ""knob-first"" into the zone.","Perform the ""Wall Drill"" where the hitter stands with their back a bat-length away from a wall. During the swing, if the barrel ""loops"" or ""drags,"" it will strike the wall. This forces a ""knob-first"" entry into the hitting zone.",Varies,0
flaw--lunging-to-the-ball,Flaw: Lunging To The Ball,Medium,Hitting,,,,orphan,Custom,"To keep the center of gravity stable, ensuring the head doesn't move forward during the swing.","Practice hitting off a tee while keeping the front heel off the ground until the last possible second. This forces the weight to stay on the ""inside"" of the back leg, preventing the common ""lunge"" where the head moves too far forward before the swing.",Varies,0
flaw--no-lower-half,Flaw: No Lower Half,Medium,Hitting,,,,orphan,Custom,"To ""wake up"" the hips and glutes through exaggerated movement, teaching the hitter that the legs drive the barrel.","Practice ""Happy Gilmore"" style swings where the hitter steps behind their lead foot and then forward into the swing. This exaggerated movement forces the hips to engage and creates a feeling of ""driving"" through the ball using the large muscles of the legs.",Varies,0
flaw--soft-front-knee,Flaw: Soft Front Knee,Medium,Hitting,,,,orphan,Custom,"To create a ""firm front side,"" providing a solid post for the body to rotate around to prevent power leakage.","Place a firm object or a ""slant board"" under the front foot to encourage a ""firm front side"" upon impact. A ""soft"" or bent front knee leaks power; this drill helps the hitter ""post up"" and transfer all their energy into the barrel.",Varies,0
flaw--stepping-in-the-bucket,Flaw: Stepping In The Bucket,Medium,Hitting,,,,orphan,Custom,"To fix a ""leaking"" stride path by using a barrier that forces the front foot to stay directed toward the pitcher.","Place a bat or a 2x4 on the ground behind the hitter's lead foot. If the hitter ""steps in the bucket"" (steps toward third base for a righty), they will trip or step on the object. This reinforces a straight, ""toward the pitcher"" stride path.",Varies,0
fly-balls,Fly Balls,Intermediate,Outfield,,,,orphan,Hitting,"To develop the fundamental skills of tracking, judging, and catching fly balls in the outfield.","From a ready athletic position, the outfielder reads the trajectory of a fly ball hit by a coach or partner. The player should take a direct route to the ball, getting their body in position to make the catch. Emphasis is placed on using proper footwork to get under the ball and securing it with two hands.","Bat, Ball",1
follow-through-swing,Follow Through Swing,Easy,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=follow-through-swing,,static,Custom,"To ensure total body balance and completion of the swing, finishing with the chest toward the pitcher.","Focus entirely on the finish of the swing, ensuring the bat finishes high and the chest is facing the pitcher. The hitter should be able to ""hold"" their finish for three seconds without wobbling, indicating perfect balance throughout the entire motion.",Varies,1
forehand-range,Forehand Range,Medium,Infield,,,,orphan,Custom,To increase an infielder's lateral range and ability to make a strong throw after fielding a ball on the move.,"From their ready position, the infielder reacts to a ground ball hit moderately to their forehand side, focusing on taking an efficient route to the ball. The player should work on fielding the ball outside of their body while keeping their feet moving toward the target to ensure a quick and powerful throw. This drill emphasizes creating proper angles to the ball and maintaining momentum through the play.",Varies,1
four-corners,Four Corners,Medium,Infield,,,,orphan,Custom,"To develop advanced fielding skills, including quick footwork, soft hands, and the ability to make accurate throws under pressure from all infield positions.","Set up at the four corners of the infield, with players at first, second, third, and shortstop. Coaches hit a variety of hard ground balls to each player, who must field the ball cleanly and make a strong, accurate throw to the next base. The drill should include reps for routine plays, backhands, and forehands, keeping a quick pace to simulate game-like pressure.",Varies,1
free-play,Free Play,Medium,Infield,,,,orphan,Custom,"To develop a player's natural defensive instincts, reaction time, and fundamental fielding and throwing mechanics in a game-like environment.","A coach hits or throws a variety of ground balls to infielders, who are free to move to any position. Players should focus on anticipating the ball's path, getting into a solid fielding stance, and securing the ball cleanly in their glove. After fielding, the player should make a crisp, accurate throw to a designated base, practicing fluid footwork and a quick release.",Varies,0
front-hip-toss,Front Hip Toss,Medium,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=front-hip-toss,,static,Custom,"To train the hitter to ""clear the hips"" quickly and stay inside the ball when facing tight inside pitches.","The tosser stands in front and slightly to the side, flipping balls toward the hitter's front hip. This requires the hitter to ""clear"" their hips quickly and stay ""inside"" a ball that is ""crowding"" them, which is essential for hitting inside fastballs.",Varies,1
fungo-charge,Fungo Charge,Medium,Infield,,,,orphan,Custom,"To develop the technique and confidence needed to attack slowly hit balls, make plays on the run, and execute a quick transfer for a successful putout.","From your ready position, aggressively charge the slow-rolling ground ball hit by the fungo bat. Focus on timing your approach to field the ball on a short hop or out in front of your body, often with your bare hand. Secure the grip quickly and make a strong, accurate throw to first base while still moving towards your target.",Varies,1
fungo-for-hitters,Fungo for Hitters,Medium,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=fungo-for-hitters,,static,Custom,"To develop total ""body-to-barrel"" coordination by having the hitter time their own toss and swing fluidly.","Have the hitter throw the ball up to themselves and hit it into the field, just like a coach. This build ""hand-eye-barrel"" coordination and teaches the hitter how to ""time up"" their own body movements to make solid contact.",Varies,1
gain-ground-drill,Gain Ground Drill,Medium,Hitting,10m,,,custom,Hitting,"To teach hitters to properly unanchor their back foot during hip rotation, promoting effective weight transfer and preventing getting stuck on the backside.",,Varies,1
get-on-plane-drill,Get on Plane Drill,Medium,Hitting,10m,,,custom,Hitting,"The goal is to train hitters to keep the bat on a flatter, more level path by focusing on hip rotation and staying behind the ball during the swing. main focus: The main focus is on turning the hips p",,Varies,1
groundball-on-knees-progression,Groundball On Knees Progression,Medium,Infield,,,,orphan,Custom,"To develop soft hands, proper glove position, and the skill of fielding the ball on the hop by isolating the upper body.","Players start on their knees, positioned 10 feet apart, or a coach can hit groundballs from 45 feet away. The focus is on keeping the glove out in front, watching the ball all the way in, and using soft hands to field the ball on a hop. This progression helps isolate the upper body and hands, forcing the player to work their glove underneath the ball.",Varies,0
grounders,Grounders,Intermediate,Infield,,,,orphan,Hitting,To develop a fundamentally sound and aggressive approach to fielding ground balls in the outfield.,"From a ready position, the outfielder charges a ground ball hit directly at them. The player should focus on approaching the ball under control, breaking down with their glove-side foot forward, and keeping their eyes on the ball as they field it out in front of their body. After securing the ball in their glove, they should cover it with their throwing hand to prepare for a quick transition.","Bat, Ball",1
half-swing-drill,Half Swing Drill,Medium,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=half-swing-drill,,static,Hitting,"To diagnose mechanical checkpoints at the ""point of contact,"" ensuring optimal body position.","The hitter takes a swing but stops the barrel exactly at the ""point of contact"" and holds it. This allows the coach and player to check the ""checkpoints"": is the back knee bent? Are the eyes on the ball? Is the ""V"" in the hands correct? It’s a great diagnostic tool.",Varies,1
hand-break-drill,Hand Break Drill,Intermediate,Pitching,,,,orphan,Hitting,"To develop a consistent and efficient hand separation, synchronizing the arm action with the lower body's movement to improve pitching mechanics and velocity.","From the stretch position, the pitcher comes to a set position and then lifts their leg. As the lead leg begins its descent, the hands separate from the glove in a downward and outward motion, keeping the fingers on top of the ball. This drill emphasizes a smooth and properly timed hand break, ensuring the throwing arm is in the correct position as the body moves toward the plate.","Bat, Ball",0
happy-gilmore-drill,Happy Gilmore Drill,Medium,Hitting,10m,,,custom,Hitting,"To develop a hitter’s understanding and control of the back foot kickback movement, focusing on proper rhythm, timing, and deceleration during the swing.",,Varies,1
heavy-bat-drill,Heavy Bat Drill,Medium,Hitting,10m,,,custom,Hitting,Improve swing sequencing and bat speed by forcing the hitter to use their body instead of swinging with the arms.,,Varies,1
heavy-front-side-drill,Heavy Front Side Drill,Intermediate,Infield,,,,orphan,Hitting,Work on balance and weight transfer in the direction of the target,"Begin in your pitching stance with a slightly heavier ball, such as a weighted baseball or softball, in your glove hand to create a 'heavy' front side sensation. As you move through your delivery, focus on keeping your front shoulder and glove arm directed towards the target for as long as possible before rotation. The added weight provides a physical cue to maintain a strong, stable front side, preventing your upper body from flying open too early.",Ball,1
high-choppers,High Choppers,Medium,Infield,,,,orphan,Custom,"To develop the skill of charging and fielding high-bouncing ground balls, improving the player's timing, footwork, and ability to make a quick transition from fielding to throwing.","From a ready position, the infielder charges a high-bouncing ground ball hit by a coach. The player must aggressively attack the ball, fielding it at the peak of its bounce before it starts to come down. After securing the ball, the player makes a strong and accurate throw to the target base.",Varies,1
high-choppers-fungo,High Choppers Fungo,Medium,Infield,,,,orphan,Custom,To develop an infielder's ability to aggressively charge and properly time the fielding of high-bouncing ground balls.,"A coach hits high-bouncing ground balls, or 'choppers,' with a fungo bat toward an infielder at their regular position. The fielder's task is to read the trajectory of the bounce, charge the ball with controlled aggression, and time their approach to field it at the highest point of the hop. After securing the ball, the player should focus on making a strong, accurate throw to the designated base.",Varies,1
high-tee,High Tee,Medium,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=high-tee,,static,Custom,"To train a direct hand path to the top of the strike zone, preventing the ""loop"" that misses high fastballs.","Set the tee at the very top of the strike zone (chest height). The hitter must stay ""on top"" of the ball and drive line drives. This is the ultimate ""anti-loop"" drill and forces the hitter to use their hands effectively to get the barrel to a high pitch.",Varies,1
hip-loading-balance-disc-tee,Hip Loading Balance Disc Tee,Hard,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=hip-loading-balance-disc-tee,,static,Custom,"To build ""core-to-ground"" stability, forcing the athlete to engage large muscles to remain balanced while rotating.","The hitter stands with their back foot on an inflatable balance disc while hitting off a tee. The instability forces the hitter to engage their core and glutes to stay balanced, reinforcing a powerful and stable ""backside"" load.",Varies,1
hip-velocity-drill,Hip Velocity Drill,Easy,Hitting,10m,,,custom,Hitting,Increase hip velocity and lower body involvement,,Varies,1
hips-fire-first-tee-drill,Hips Fire First Tee Drill,Medium,Hitting,10m,,,custom,Hitting,Hip-separation hitting drill that teaches athletes to fire the hips before the hands,,Varies,1
hit-and-run,Hit and Run,Hard,Hitting,15m,https://usabdevelops.com/page/1363/drills?q=hit-and-run,,static,Custom,"To prioritize contact and direction over power, training the hitter to move a runner regardless of pitch location.","The coach tosses a ball and the hitter must put it on the ground, preferably toward the right side of the field. This simulates the ""hit and run"" play where contact and direction are more important than power, teaching bat control and situational awareness.",Varies,1
hook-'ems,Hook 'Ems,Intermediate,Hitting,,,,orphan,Hitting,"To develop proper hip sequencing and direction into foot-strike, promoting a powerful and efficient throwing motion.","From the peak of your leg lift, focus on setting the angle of your hips by driving your back glute toward the target. This initial move should be the catalyst for your entire throwing motion, ensuring your lower half leads the way. By properly sequencing this movement, you will create a more powerful and efficient energy transfer from the ground up, leading to increased velocity and better command.","Bat, Ball",0
hook-ems,Hook Ems,,Uncategorized,,,YES,video-orphan,,,,,1
indoor-facility-defensive-stations,Indoor Facility Defensive Stations,Medium,Infield,,,,orphan,Custom,To develop a range of fundamental infield skills in a structured and efficient station-based circuit.,"Set up several stations in an indoor space, each targeting a specific infield skill. For instance, one station could focus on fielding groundballs rolled by a coach, another on receiving throws at a base, and a third on quick footwork through an agility ladder. Players rotate through each station, allowing for focused repetition on a variety of defensive fundamentals in a controlled setting.",Varies,0
infield-hands-routine,Infield Hands Routine,Medium,Infield,,,,orphan,Custom,"To develop an infielder's hand-eye coordination, quick transfers, and soft hands when fielding ground balls.","In this drill, an infielder assumes their ready position without a glove while a partner tosses them ground balls from a short distance. The player focuses on receiving the ball with two hands out in front, absorbing the impact with soft hands, and quickly transitioning the ball to their throwing hand. This routine helps build muscle memory for the proper fielding sequence.",Varies,1
inside/outside-tee,Inside/Outside Tee,Medium,Hitting,,,,orphan,Custom,"To develop directional hitting versatility, teaching the distinct ""feels"" of pulling a ball vs.","Set up two tees—one on the inner half and one on the outer half. The hitter alternates swings, focusing on ""pulling"" the inside ball and ""driving"" the outside ball to the opposite gap. This teaches the different ""contact points"" required for different pitch locations.",Varies,1
insideoutside-tee,Inside/Outside Tee,Easy,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=inside-outside-tee,,static,,,,,1
intentional-throwing,Intentional Throwing,Intermediate,Throwing,,,,orphan,Hitting,To enhance a pitcher's body awareness and ability to make targeted mechanical adjustments.,"This drill emphasizes deliberate practice over velocity. The pitcher focuses on a single mechanical point for each throw, such as hand position or follow-through, while throwing at a reduced intensity. Each repetition is a conscious effort to execute that specific movement perfectly, building a stronger mind-body connection.","Bat, Ball",0
interval-throwing,Interval Throwing,Intermediate,Throwing,,,,orphan,Hitting,"To safely build arm strength, improve endurance, and reinforce sound throwing mechanics through a structured progression.","Begin by making 15-20 easy throws from a distance of 45-60 feet, focusing on a clean arm action and consistent release point. After a short rest, increase the distance by 15-20 feet and repeat the set, ensuring you maintain the same smooth mechanics without overthrowing. This progression helps pitchers build arm strength and endurance gradually while reinforcing proper throwing fundamentals.","Bat, Ball",1
jump-back-drill,Jump Back Drill,Medium,Hitting,10m,,,custom,Hitting,"This drill helps hitters improve their hip rotation control and balance at contact, resulting in a more powerful and effective swing.",,Varies,1
kaboom-drill,KaBoom Drill,Medium,Hitting,10m,,,custom,Hitting,Build slow-to-fast rhythm — controlled load/stride (“Kaa”) followed by an explosive launch (“Boom”). Helps hitters stop rushing/drifting and sync foot plant with swing start.,,Varies,1
